Shipment_ID,Distance_km,Shipment_Weight_kg,Delivery_Time_Hours,Transportation_Cost,Traffic_Level,Weather,Vehicle_Type,Delayed
S001,122.0,73.0,27.4,1957.53,High,Clear,Truck,0
S002,455.0,33.3,29.3,2064.25,High,Clear,Truck,0
S003,368.0,57.5,5.7,4244.43,High,Clear,Truck,0
S004,290.0,52.6,19.0,4660.58,Medium,Rain,Van,1
S005,126.0,96.2,13.1,491.52,High,Rain,Truck,0
S006,2500.0,84.6,38.9,1163.26,Medium,Rain,Truck,0
S007,,75.0,23.6,3405.05,Medium,Cloudy,Bike,0
S008,40.0,54.4,47.2,1889.44,Low,Rain,Bike,0
S009,122.0,,20.3,1382.69,High,Rain,Truck,1
S010,141.0,96.6,39.6,1582.16,High,Clear,Bike,0
S011,486.0,61.1,38.7,1714.37,Medium,Clear,Truck,0
S012,234.0,28.3,8.9,4266.05,High,Clear,Truck,0
S013,350.0,30.3,25.4,812.61,Medium,Clear,Truck,0
S014,478.0,17.4,34.0,3588.22,Low,Clear,Van,1
S015,107.0,2.5,41.5,2831.18,Low,Clear,Truck,0
S016,392.0,42.9,17.0,1588.07,Low,Cloudy,Truck,1
S017,119.0,40.1,12.1,2185.94,Medium,Cloudy,Truck,0
S018,379.0,30.1,34.7,1392.6,Low,Rain,Bike,1
S019,171.0,2.4,39.2,3115.84,Medium,Clear,Van,0
S020,150.0,20.7,18.0,545.73,Low,Clear,Truck,0
S021,169.0,71.4,6.4,25000.0,Medium,Cloudy,Truck,0
S022,328.0,79.2,45.3,3195.29,Medium,Cloudy,Truck,1
S023,277.0,61.0,20.3,1092.23,Medium,Clear,Truck,1
S024,363.0,92.7,25.8,494.06,Low,Rain,Bike,0
S025,433.0,65.5,40.5,2074.4,Low,Clear,Truck,1
S026,313.0,91.6,33.1,396.23,Medium,Clear,Van,0
S027,405.0,85.2,35.8,4450.09,Medium,Clear,Van,1
S028,211.0,45.5,11.6,283.94,Low,,Truck,0
S029,463.0,10.4,26.9,2957.49,High,Cloudy,Van,0
S030,296.0,37.7,34.0,2276.6,Low,Rain,Van,1
S031,180.0,67.2,12.5,3409.33,,Clear,Truck,0
S032,479.0,66.9,,1741.54,High,Rain,Van,0
S033,333.0,59.5,47.2,901.95,Medium,Cloudy,Truck,0
S034,41.0,28.2,25.8,4911.93,Medium,Cloudy,Truck,1
S035,272.0,56.6,14.0,4218.83,Medium,Clear,Truck,0
S036,255.0,38.9,120.0,4322.96,Medium,Clear,Van,1
S037,364.0,97.2,46.4,1363.72,Medium,Clear,Truck,0
S038,68.0,85.0,27.7,338.35,Low,Clear,Van,0
S039,494.0,72.5,42.6,1620.84,Low,Clear,Truck,0
S040,78.0,24.4,10.7,2754.85,Medium,Rain,Van,0
S041,189.0,,14.8,1734.26,High,Clear,Bike,0
S042,495.0,5.0,34.2,4165.16,Medium,Clear,Truck,1
S043,207.0,71.4,40.9,1466.98,Low,Clear,Bike,0
S044,483.0,12.0,41.4,4831.47,Medium,Clear,Truck,0
S045,290.0,44.5,20.6,2367.74,Medium,Clear,Van,1
S046,209.0,21.0,42.8,4233.81,Low,Clear,Bike,0
S047,465.0,89.7,41.1,1092.74,Medium,Clear,Van,0
S048,194.0,48.1,45.0,2145.07,Medium,Clear,Van,0
S049,,56.8,38.1,3542.63,Medium,Clear,Van,0
S050,70.0,69.9,32.8,821.01,Medium,Rain,Truck,0
S051,383.0,14.8,28.7,793.82,Low,Clear,Truck,0
S052,74.0,60.8,19.1,4852.25,Low,Clear,Van,0
S053,263.0,54.4,45.2,3615.79,Low,Clear,Bike,0
S054,339.0,21.1,46.8,349.18,High,Cloudy,Van,0
S055,150.0,94.3,15.1,2084.28,High,Clear,Van,0
S056,326.0,60.3,16.0,2252.58,Medium,Rain,Van,0
S057,154.0,69.8,24.3,3758.61,High,Cloudy,Van,0
S058,40.0,88.2,22.6,1366.67,Medium,Clear,Truck,0
S059,348.0,62.8,47.7,1044.02,Medium,Cloudy,Truck,0
S060,186.0,30.3,10.1,542.23,Medium,Rain,Truck,1
S061,293.0,11.4,,2227.33,Low,,Van,0
S062,407.0,46.2,24.7,3489.22,Low,Clear,Van,1
S063,108.0,22.6,10.2,432.24,Medium,Rain,Van,0
S064,335.0,42.2,18.9,4588.79,Medium,Clear,Bike,0
S065,33.0,88.4,36.2,2295.41,Low,Cloudy,Van,1
S066,261.0,33.1,35.2,1312.97,High,Clear,Truck,1
S067,284.0,13.1,16.2,605.29,Medium,Rain,Bike,0
S068,365.0,36.3,27.0,1036.9,Low,Clear,Truck,0
S069,72.0,90.8,25.4,4682.88,High,Cloudy,Bike,1
S070,405.0,27.9,31.3,3245.61,High,Rain,Van,0
S071,359.0,65.1,13.5,2655.98,High,Clear,Truck,0
S072,111.0,1.1,29.1,3336.99,Low,Clear,Truck,1
S073,386.0,35.9,47.0,2263.01,Medium,Clear,Truck,1
S074,463.0,31.2,24.4,3690.69,Medium,Clear,Van,1
S075,474.0,17.3,43.7,381.42,Medium,Clear,Van,1
S076,447.0,53.9,22.0,2895.28,High,Rain,Van,1
S077,283.0,49.0,18.1,919.44,Medium,Clear,Truck,0
S078,450.0,69.6,31.7,732.8,High,Rain,Bike,0
S079,54.0,27.7,32.8,1808.12,High,Cloudy,Truck,0
S080,225.0,25.2,41.8,595.23,High,Rain,Van,1
S081,100.0,17.7,12.6,606.66,Medium,Rain,Bike,0
S082,439.0,22.7,25.0,1660.35,Low,Rain,Van,0
S083,69.0,56.3,28.3,4900.63,Medium,Clear,Van,0
S084,379.0,41.0,37.4,1000.35,High,Clear,Van,0
S085,407.0,7.4,4.0,233.23,Low,Clear,Truck,0
S086,21.0,26.1,47.7,3852.32,Medium,Clear,Van,1
S087,409.0,25.4,23.6,4063.53,Low,Clear,Truck,0
S088,73.0,69.9,14.9,1829.58,Medium,Clear,Bike,0
S089,125.0,71.5,42.6,2403.67,High,Cloudy,Van,0
S090,279.0,15.7,36.4,3301.4,High,Rain,Truck,0
S091,329.0,99.8,45.8,383.09,Low,Clear,Van,0
S092,496.0,27.4,17.2,4753.36,High,Clear,Van,0
S093,210.0,97.7,27.4,4450.4,Medium,Clear,Truck,0
S094,421.0,41.7,28.3,1415.33,Medium,Clear,Van,0
S095,237.0,4.3,47.1,224.23,Medium,Clear,Truck,0
S096,63.0,35.2,5.5,4677.17,Medium,Cloudy,Truck,0
S097,181.0,63.8,16.1,2580.04,Medium,Clear,Truck,0
S098,221.0,68.4,10.8,2765.98,Medium,Cloudy,Truck,0
S099,465.0,53.6,14.3,3467.22,Low,Cloudy,Truck,0
S100,289.0,45.3,24.3,3136.88,,Clear,Truck,0
