Shipment_ID,Distance_km,Shipment_Weight_kg,Delivery_Time_Hours,Transportation_Cost,Traffic_Level,Weather,Vehicle_Type,Delayed
S001,122,73.0,19.8,1333.61,High,Clear,Truck,0
S002,455,33.3,32.8,4100.85,High,Clear,Truck,1
S003,368,57.5,30.7,2630.87,High,Clear,Truck,1
S004,290,52.6,26.8,2711.05,Medium,Rain,Van,1
S005,126,96.2,18.1,1566.85,High,Rain,Truck,1
S006,91,84.6,15.1,749.4,Medium,Rain,Truck,0
S007,208,75.0,20.0,1479.52,Medium,Cloudy,Bike,0
S008,40,54.4,6.3,1078.42,Low,Rain,Bike,0
S009,122,59.1,22.3,1697.93,High,Rain,Truck,1
S010,141,96.6,17.1,1732.6,High,Clear,Bike,0
S011,486,61.1,32.5,4700.78,Medium,Clear,Truck,1
S012,234,28.3,18.2,2216.69,High,Clear,Truck,0
S013,350,30.3,22.1,3378.78,Medium,Clear,Truck,1
S014,478,17.4,23.2,3990.41,Low,Clear,Van,1
S015,107,2.5,8.1,897.22,Low,Clear,Truck,0
S016,392,42.9,31.9,2942.91,Low,Cloudy,Truck,1
S017,119,40.1,10.0,1041.75,Medium,Cloudy,Truck,0
S018,379,30.1,34.0,3067.96,Low,Rain,Bike,1
S019,171,2.4,17.0,1950.4,Medium,Clear,Van,0
S020,150,20.7,9.6,1667.62,Low,Clear,Truck,0
S021,169,71.4,16.1,1884.41,Medium,Cloudy,Truck,0
S022,328,79.2,24.7,3300.9,Medium,Cloudy,Truck,1
S023,277,61.0,25.0,2716.58,Medium,Clear,Truck,1
S024,363,92.7,28.6,3411.33,Low,Rain,Bike,1
S025,433,65.5,30.4,3197.72,Low,Clear,Truck,1
S026,313,91.6,24.4,3338.41,Medium,Clear,Van,1
S027,405,85.2,28.1,3440.42,Medium,Clear,Van,1
S028,211,45.5,15.6,2348.24,Low,Clear,Truck,0
S029,463,10.4,32.7,4114.12,High,Cloudy,Van,1
S030,296,37.7,18.6,2335.14,Low,Rain,Van,0
S031,180,67.2,17.6,2164.8,Medium,Clear,Truck,0
S032,479,66.9,34.3,3947.2,High,Rain,Van,1
S033,333,59.5,24.1,2820.99,Medium,Cloudy,Truck,1
S034,41,28.2,6.9,704.52,Medium,Cloudy,Truck,0
S035,272,56.6,22.0,2574.27,Medium,Clear,Truck,1
S036,255,38.9,22.9,2281.04,Medium,Clear,Van,1
S037,364,97.2,29.5,2880.4,Medium,Clear,Truck,1
S038,68,85.0,9.5,1029.99,Low,Clear,Van,0
S039,494,72.5,29.4,5008.72,Low,Clear,Truck,1
S040,78,24.4,11.4,100.0,Medium,Rain,Van,0
S041,189,26.4,17.2,2020.71,High,Clear,Bike,0
S042,495,5.0,30.2,4284.99,Medium,Clear,Truck,1
S043,207,71.4,14.2,1578.38,Low,Clear,Bike,0
S044,483,12.0,29.8,3692.2,Medium,Clear,Truck,1
S045,290,44.5,19.9,2205.0,Medium,Clear,Van,0
S046,209,21.0,16.4,2490.89,Low,Clear,Bike,0
